Team Code,Game Code,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
5,5.01E+12,1,1,1,1,0,0,0,0,0,10,8,250,3,189,0,0,0,1,1,55,24,3,13,0,0,2,1,1,0,5,8,0,1638,2,30,16,6,0,0,2,0,1
86,5.01E+12,3,3,6,6,0,0,0,0,0,51,2,53,9,544,3,1,0,2,1,44,10,8,38,3,32,2,1,5,1,17,9,2,1962,6,50,12,6,1,0,7,6,1
5,5.01E+12,0,0,2,2,0,0,0,0,0,14,6,240,3,155,0,1,0,3,2,30,52,4,5,0,0,2,0,2,1,7,9,1,1815,9,78,14,3,1,1,2,1,0
140,5.01E+12,2,1,8,8,0,0,0,0,0,59,3,123,10,667,1,1,0,1,1,31,42,5,27,3,25,0,2,10,0,10,8,2,1785,4,45,11,6,0,0,5,5,0
5,5.02E+12,2,1,3,2,0,0,0,0,0,23,5,162,5,275,1,0,0,1,1,18,76,5,17,1,7,1,1,1,0,9,8,0,1615,6,47,15,3,4,3,4,2,1
204,5.02E+12,1,1,4,4,0,0,0,0,0,31,6,203,5,297,0,1,0,1,1,18,58,5,23,2,10,8,1,4,0,13,3,2,1985,6,47,15,5,2,2,5,4,1
5,5.04E+12,1,1,0,0,0,0,0,0,0,3,8,302,2,111,0,0,0,2,1,40,30,2,8,1,6,2,0,2,0,6,5,1,1558,3,23,17,5,3,2,1,0,1
414,5.04E+12,0,0,5,5,0,0,0,0,0,35,7,265,6,352,0,0,0,0,0,28,32,4,20,1,7,4,1,10,0,8,9,0,2042,6,52,16,7,2,1,4,3,0
5,5.05E+12,1,0,0,0,0,0,0,0,0,0,10,442,1,65,0,0,0,1,0,47,34,0,0,0,0,0,1,4,0,3,2,0,1430,4,35,13,2,1,1,0,0,0
518,5.05E+12,1,0,6,6,0,0,0,0,0,42,3,126,7,448,2,0,0,2,1,30,16,10,49,5,35,0,1,6,0,11,16,0,2170,3,29,15,8,2,1,8,6,0
5,5.08E+12,1,1,2,2,0,0,0,0,1,19,9,319,5,242,0,0,0,6,4,37,42,5,14,0,0,2,2,3,0,12,1,4,2017,5,34,18,5,1,0,2,1,1
774,5.08E+12,1,1,9,9,0,0,0,0,1,68,1,66,12,826,6,0,0,4,3,37,38,11,33,4,17,5,4,8,0,12,15,1,1583,8,86,7,1,3,1,9,6,1
204,7.02E+12,0,0,2,2,0,0,0,0,0,14,7,233,3,183,0,0,0,2,1,35,32,13,69,8,61,14,0,2,0,16,4,0,1905,12,135,14,6,0,0,2,2,0
7,7.02E+12,0,0,1,1,0,0,0,0,0,7,8,307,2,122,0,0,0,2,1,29,54,5,22,2,16,4,2,3,0,0,14,4,1695,3,20,15,5,1,0,0,0,0
8,8.00E+12,2,2,4,4,1,1,0,0,0,42,3,121,8,484,2,0,0,1,1,38,18,7,30,3,17,4,1,1,0,8,9,2,1898,3,20,13,7,1,1,4,2,2
37,8.00E+12,0,0,2,2,0,0,0,0,0,14,6,250,3,210,3,0,0,2,1,38,24,2,11,1,10,0,1,0,0,7,2,0,1702,4,40,15,3,4,2,1,0,0
8,8.02E+12,1,1,5,5,0,0,0,0,0,38,5,199,7,450,0,1,0,0,0,39,10,11,54,4,33,3,2,5,0,14,6,1,2081,3,29,13,7,0,0,4,3,1
235,8.02E+12,2,1,1,1,0,0,0,0,0,10,7,303,3,206,0,0,0,4,1,36,28,4,12,0,0,2,0,2,0,1,7,1,1519,4,16,14,4,0,0,2,0,1
8,8.04E+12,7,5,1,0,0,0,0,0,0,21,3,133,6,400,0,0,0,0,0,37,16,11,39,4,26,0,1,1,0,9,12,0,2126,1,5,14,3,2,2,3,0,3
365,8.04E+12,0,0,0,0,0,0,0,0,0,0,9,411,1,70,0,0,0,3,1,49,26,8,17,2,9,0,0,4,1,4,1,0,1474,5,35,12,2,1,0,0,0,0
8,8.04E+12,3,1,3,3,0,0,0,0,0,24,4,149,5,293,0,0,0,1,0,27,40,9,40,5,33,2,0,5,0,12,7,1,2090,6,40,11,2,2,1,4,2,1
430,8.04E+12,2,0,1,1,0,0,0,0,0,7,7,299,2,130,1,0,0,1,0,18,78,5,6,0,0,2,0,2,0,3,4,2,1510,6,49,16,3,3,1,2,1,0
8,8.04E+12,2,1,7,7,0,0,0,0,0,52,1,44,9,534,0,0,0,0,0,38,16,14,52,5,34,0,1,1,0,17,10,0,2036,5,35,12,7,1,1,7,5,1
433,8.04E+12,0,0,1,1,0,0,0,0,0,7,7,278,2,135,0,0,0,1,1,39,28,2,15,1,14,1,0,2,0,6,3,0,1564,0,0,14,4,2,1,2,1,0
8,8.05E+12,2,2,3,3,0,0,0,0,0,27,6,223,6,372,0,0,0,0,0,32,28,1,1,0,0,0,2,10,0,10,9,0,2045,3,35,17,8,1,1,5,3,2
539,8.05E+12,1,1,0,0,1,1,0,0,0,11,6,259,2,134,0,0,1,2,2,26,66,3,11,0,0,0,0,7,0,6,8,2,1555,3,25,17,8,1,1,1,1,0
9,9.02E+12,1,1,2,2,1,0,0,0,0,23,4,171,5,302,0,0,0,3,2,44,38,2,15,1,13,2,4,1,0,8,13,3,1936,0,0,17,8,1,0,5,2,1
196,9.02E+12,0,0,4,4,0,0,0,0,0,28,0,0,5,327,0,0,0,4,4,30,68,6,19,3,12,3,2,2,0,10,21,0,1664,4,60,5,4,0,0,5,3,0
9,9.02E+12,0,0,5,5,0,0,0,0,0,35,2,94,6,293,0,1,0,1,1,43,34,3,4,0,0,0,3,2,0,10,12,2,1716,4,28,11,8,0,0,5,5,0
229,9.02E+12,2,1,5,5,0,0,0,0,0,38,1,40,7,423,0,0,0,3,1,38,32,3,14,1,12,1,1,2,0,13,11,0,1884,7,70,13,5,5,5,7,4,1
