Team Code,Game Code,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
5,5.00E+12,1,1,4,3,0,0,0,0,0,30,8,277,4,223,0,0,1,3,0,38,34,4,22,2,12,5,1,3,0,6,11,2,1863,3,25,16,4,1,0,5,3,1
47,5.00E+12,3,3,4,4,0,0,0,0,0,37,5,204,6,380,0,0,0,2,2,25,52,3,8,1,2,3,1,2,0,5,9,1,1737,4,34,17,6,2,2,4,1,2
5,5.03E+12,2,2,2,2,0,0,0,0,0,20,3,109,5,230,0,0,0,1,0,36,26,6,34,1,8,2,1,2,0,7,10,1,1740,5,46,11,5,1,0,2,1,1
306,5.03E+12,0,0,5,5,0,0,0,0,0,35,3,111,6,378,1,0,0,1,0,37,24,5,11,2,8,3,1,3,0,4,15,2,1860,5,50,11,6,2,2,6,5,0
5,5.03E+12,1,1,2,2,0,0,0,0,0,17,7,321,4,234,0,0,0,3,2,40,22,5,22,1,8,1,2,5,0,6,8,4,1967,10,65,14,4,1,1,3,2,1
331,5.03E+12,0,0,4,4,0,0,0,0,0,28,9,371,5,297,0,1,0,2,0,35,37,12,66,7,56,3,2,3,0,6,7,2,1633,13,125,15,4,2,1,2,2,0
5,5.03E+12,1,1,1,1,0,0,0,0,0,10,10,387,3,150,0,0,0,0,0,41,40,3,6,0,0,2,0,1,0,5,5,2,1774,6,50,16,4,1,1,1,0,1
334,5.03E+12,3,2,6,5,0,0,0,0,0,47,2,94,9,620,5,1,0,1,0,31,24,9,54,5,42,2,0,2,0,14,12,1,1826,6,60,9,3,1,0,6,4,2
5,5.05E+12,2,1,1,1,0,0,0,0,0,10,5,187,3,157,0,1,0,1,0,37,48,5,8,0,0,0,0,0,1,4,9,2,1505,6,40,14,7,0,0,3,1,1
519,5.05E+12,2,1,5,5,0,0,0,0,0,38,0,0,7,434,0,0,0,0,0,34,32,3,30,1,12,0,1,2,0,13,11,0,2095,5,38,12,5,3,2,4,3,0
5,5.07E+12,1,0,0,0,0,0,0,0,0,0,10,383,1,70,1,0,0,2,0,50,4,7,12,1,5,0,1,2,0,1,7,0,1738,3,25,16,4,0,0,0,0,0
690,5.07E+12,3,3,3,3,0,0,0,0,0,30,4,154,7,463,2,0,0,1,1,46,0,6,38,4,27,0,1,0,1,11,9,1,1862,6,90,11,4,0,0,4,2,2
8,8.00E+12,1,1,3,3,0,0,0,0,0,24,3,137,5,334,1,0,0,1,0,46,17,3,13,2,8,0,1,3,0,11,11,1,2032,8,47,14,8,1,1,4,2,1
31,8.00E+12,2,2,2,2,0,0,0,0,0,20,3,116,5,307,0,0,0,1,0,59,30,5,28,3,23,0,1,1,0,4,14,2,1568,6,45,10,2,1,1,4,1,2
8,8.02E+12,2,2,8,8,0,0,0,0,0,62,2,81,10,626,0,0,0,4,2,48,32,6,18,1,8,2,0,3,0,11,15,1,1620,6,55,5,2,0,0,8,6,1
