Team Code,Game Code,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
5,5.02E+12,4,2,4,4,1,1,0,0,0,42,4,158,8,465,0,0,0,1,1,58,14,6,18,1,5,2,0,3,0,11,10,0,1433,3,15,11,3,0,0,6,3,2
204,5.02E+12,1,0,5,5,0,0,0,0,0,35,5,177,5,264,0,0,1,1,1,49,10,6,26,2,14,2,1,0,1,7,14,0,2167,1,15,19,11,2,2,6,5,0
5,5.03E+12,3,3,3,3,0,0,0,0,0,30,6,234,5,283,0,1,0,1,0,54,38,10,38,1,2,0,2,4,0,5,9,1,2365,4,33,15,3,2,2,4,1,3
331,5.03E+12,4,2,3,3,0,0,0,0,0,27,5,194,4,200,0,0,0,4,2,29,40,6,18,2,4,0,0,3,0,17,6,2,2135,6,56,18,5,3,2,7,3,2
5,5.05E+12,1,0,6,6,0,0,0,0,0,42,6,214,7,359,0,0,0,0,0,31,24,4,8,0,0,0,1,1,0,11,11,1,2214,2,15,21,13,2,2,5,5,0
519,5.05E+12,0,0,7,7,0,0,0,0,0,49,4,155,8,360,0,0,0,3,2,32,68,5,24,3,16,0,0,6,0,6,10,0,1386,4,35,12,8,0,0,3,3,0
5,5.07E+12,1,0,6,6,0,0,0,0,0,42,2,81,7,405,0,0,0,1,0,43,26,3,28,2,15,1,2,1,0,14,15,0,2004,5,30,14,10,1,1,5,4,0
688,5.07E+12,0,0,4,4,0,0,0,0,0,28,3,116,5,317,0,0,0,2,1,47,26,6,28,2,17,0,0,1,0,13,7,0,1596,1,5,9,3,3,1,3,3,0
5,5.07E+12,4,2,0,0,0,0,0,0,0,6,5,149,3,153,0,1,0,0,0,49,12,5,10,2,7,0,1,3,1,8,6,1,1786,5,40,15,4,2,1,3,0,2
690,5.07E+12,2,0,4,3,0,0,0,0,0,27,4,158,5,315,0,0,0,2,1,46,20,5,8,1,2,0,0,6,1,8,10,1,1814,6,43,15,8,1,0,6,4,0
5,5.07E+12,4,3,2,1,0,0,0,0,0,22,3,121,6,347,0,0,0,2,1,48,20,7,32,3,19,0,3,2,0,9,8,1,1813,9,70,9,1,1,1,5,1,3
725,5.07E+12,1,1,0,0,0,0,0,0,0,3,5,163,1,48,0,0,0,6,4,35,32,6,22,0,0,0,1,4,0,9,5,1,1787,3,40,11,2,2,1,2,0,1
5,5.08E+12,1,1,2,2,0,0,0,0,0,17,6,225,4,196,0,0,0,1,1,49,38,2,3,0,0,1,1,2,0,4,13,2,1451,7,48,11,4,1,0,3,2,1
796,5.08E+12,1,1,5,5,0,0,0,0,0,38,1,58,7,433,0,0,0,2,2,36,22,4,17,2,10,4,0,2,0,22,5,0,2149,3,24,8,5,1,1,8,5,1
498,6.05E+12,2,0,5,5,0,0,0,0,1,37,3,114,7,421,1,0,0,1,0,47,18,5,9,0,0,4,2,5,0,13,9,1,1944,9,90,11,4,2,1,5,3,0
6,6.05E+12,2,2,1,1,0,0,0,0,1,15,5,176,4,161,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,8,5,1656,6,52,12,4,0,0,4,1,2
9,7.00E+12,3,1,6,6,0,0,0,0,0,45,2,97,8,538,4,0,0,1,0,34,28,8,46,3,30,0,1,5,0,12,9,0,1681,6,66,10,5,0,0,4,3,0
7,7.00E+12,1,1,1,1,0,0,0,0,0,10,7,262,3,177,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,10,2,1919,4,30,12,3,0,0,1,0,1
8,8.00E+12,0,0,7,7,0,0,0,0,0,49,5,226,8,486,0,0,0,2,0,38,40,7,25,2,15,6,1,6,0,11,3,1,1514,1,10,11,4,0,0,1,1,0
31,8.00E+12,0,0,2,2,0,0,0,0,0,14,7,304,3,145,0,0,0,2,0,22,42,3,18,1,12,5,0,2,0,7,12,0,2086,5,30,17,5,3,2,3,2,0
8,8.01E+12,5,4,2,2,1,1,0,0,0,34,2,73,7,427,0,0,0,0,0,29,22,6,33,3,28,2,1,1,0,13,10,2,2473,6,40,17,11,0,0,6,3,3
147,8.01E+12,1,1,1,1,0,0,0,0,0,10,4,160,3,192,0,0,0,1,1,44,58,2,8,0,0,3,0,1,0,2,8,1,1127,6,43,9,1,2,1,1,0,1
8,8.02E+12,2,2,2,2,0,0,0,0,0,20,4,164,5,335,0,0,0,0,0,47,16,4,6,1,2,3,0,2,0,11,7,0,1676,2,31,12,5,1,0,4,2,2
235,8.02E+12,2,1,4,4,0,0,0,0,0,31,3,143,6,412,1,0,0,0,0,37,24,1,11,1,11,8,0,4,0,9,8,2,1924,6,45,13,7,0,0,6,4,1
8,8.03E+12,2,2,5,5,0,0,0,0,0,41,3,102,8,517,1,0,0,2,1,32,14,4,24,2,18,0,1,6,0,6,11,4,2146,2,9,10,4,0,0,6,4,2
257,8.03E+12,1,1,3,3,1,0,0,0,0,30,4,121,5,287,1,1,1,1,1,36,34,5,11,1,5,0,1,1,1,2,15,1,1454,10,81,13,4,3,2,1,1,0
8,8.04E+12,2,0,3,3,0,0,0,0,0,27,7,295,4,273,0,0,0,3,2,28,64,7,14,1,3,0,0,4,0,7,8,1,1600,2,24,13,4,0,0,4,3,0
365,8.04E+12,1,0,3,3,0,0,0,0,0,21,8,321,4,248,0,0,0,0,0,19,68,2,6,0,0,2,2,4,1,8,9,0,2000,5,32,19,5,1,1,2,1,0
8,8.07E+12,3,3,2,2,1,0,0,0,0,29,3,114,7,434,0,0,0,1,1,28,32,5,24,2,16,2,0,5,0,11,10,2,2132,3,35,13,4,2,2,4,3,1
694,8.07E+12,3,1,0,0,1,0,0,0,0,9,7,306,3,173,0,0,0,0,0,36,50,3,9,0,0,4,1,3,1,4,4,2,1468,7,60,13,3,0,0,3,1,1
9,9.01E+12,5,5,0,0,0,0,0,0,0,15,3,122,6,398,2,0,0,0,0,35,6,1,13,1,13,3,0,6,0,4,14,2,2496,7,60,19,11,0,0,3,0,3
128,9.01E+12,1,0,0,0,0,0,0,0,0,0,6,247,1,70,1,0,0,0,0,58,16,9,42,2,18,2,0,4,0,6,7,0,1104,5,41,13,4,1,1,1,0,0
9,9.02E+12,2,2,2,2,2,1,0,0,0,34,2,85,7,395,1,0,0,1,0,25,38,2,5,0,0,2,0,3,0,9,15,3,2132,4,34,19,8,5,3,6,4,1
229,9.02E+12,1,0,7,7,0,0,0,0,0,49,1,34,8,466,0,0,0,1,1,33,60,5,23,5,23,1,1,10,0,8,16,1,1455,5,65,10,7,1,1,4,3,0
9,9.03E+12,2,2,2,2,0,0,0,0,0,20,9,442,5,308,0,0,0,1,0,37,42,6,30,2,19,0,1,5,0,7,11,0,2074,7,85,16,2,2,0,3,1,1
288,9.03E+12,1,1,6,6,0,0,0,0,0,45,6,309,8,445,3,0,0,4,1,34,64,5,42,4,40,0,0,5,0,3,14,3,1526,3,23,14,4,3,1,5,4,1
9,9.06E+12,2,2,1,1,0,0,0,0,0,13,6,270,4,253,0,0,0,1,1,55,26,8,32,4,22,3,1,1,0,3,7,2,1501,9,75,13,4,0,0,2,1,1
648,9.06E+12,4,4,2,2,0,0,0,0,0,26,2,88,7,475,3,0,0,1,1,38,16,2,5,0,0,5,0,3,0,10,10,4,2099,6,55,16,8,1,0,5,2,2
9,9.07E+12,0,0,2,2,0,0,0,0,0,14,4,196,3,199,1,0,0,2,2,49,20,5,10,0,0,0,0,0,0,7,4,3,1485,8,70,9,4,1,0,2,2,0
