Team Code,Game Code,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
5,5.01E+12,2,2,2,2,0,0,0,0,0,20,2,60,5,302,0,0,1,2,1,31,48,5,15,2,10,1,1,4,0,6,14,1,1737,8,59,11,5,2,1,4,1,2
71,5.01E+12,0,0,5,4,0,0,0,0,1,36,3,96,6,372,0,1,0,1,0,29,46,4,14,1,4,5,2,1,0,4,15,2,1863,2,25,14,10,1,0,6,4,0
5,5.01E+12,2,1,2,2,0,0,0,0,0,17,6,197,4,234,0,0,0,2,1,38,40,9,28,2,12,1,1,4,0,12,7,0,1652,5,33,14,5,0,0,5,2,1
86,5.01E+12,0,0,3,3,0,0,0,0,0,21,6,186,4,243,0,0,0,1,0,34,34,4,28,2,23,2,2,4,0,6,11,2,1948,5,49,14,6,1,0,3,3,0
5,5.01E+12,1,0,3,3,0,0,0,0,0,21,5,207,3,136,0,0,1,2,1,55,32,3,12,0,0,1,2,0,0,5,5,5,1479,6,51,12,1,2,0,3,3,0
129,5.01E+12,1,0,7,6,0,0,0,0,0,48,1,16,8,482,0,0,0,2,0,37,32,8,40,5,29,3,1,0,1,16,12,2,2121,11,110,14,10,2,0,8,6,0
5,5.05E+12,2,1,1,1,0,0,0,0,0,10,7,234,3,155,0,0,0,1,1,36,54,6,17,1,10,0,0,1,1,1,7,4,1376,7,45,10,0,0,0,2,0,1
503,5.05E+12,3,2,3,3,0,0,0,0,0,27,5,245,6,337,0,0,0,1,0,36,16,6,23,3,16,0,1,4,0,15,2,1,2220,9,105,19,10,1,1,5,2,2
5,5.05E+12,0,0,1,1,0,0,0,0,0,7,7,273,2,131,0,0,0,0,0,41,37,5,14,1,5,0,1,4,0,3,5,0,1519,7,59,14,3,3,0,1,0,0
539,5.05E+12,3,1,4,4,0,0,0,0,0,31,3,121,6,407,2,0,0,1,1,31,24,13,41,4,15,0,0,4,0,7,17,1,2081,3,20,15,8,1,1,8,4,1
5,5.07E+12,2,0,2,2,0,0,0,0,0,14,7,292,3,163,0,0,0,2,2,36,34,4,21,1,11,2,0,0,0,0,8,1,1579,8,80,11,1,0,0,2,1,0
