Team Code,Game Code,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
472,2.05E+12,2,2,4,4,0,0,0,0,0,34,4,175,7,403,1,1,0,2,1,31,50,1,4,1,4,0,1,4,1,12,12,2,1874,7,79,13,7,0,0,6,4,2
2,2.05E+12,1,1,4,2,0,0,0,0,0,29,5,208,5,267,1,0,1,1,1,33,68,4,8,1,2,0,0,1,0,5,16,0,1726,10,76,14,4,3,2,5,4,1
5,5.01E+12,1,0,2,2,0,0,0,0,0,14,5,146,3,195,3,0,0,0,0,36,38,7,31,6,28,0,2,1,0,4,12,3,1437,2,10,13,6,1,0,2,1,0
71,5.01E+12,1,1,4,4,0,0,0,0,0,31,4,170,6,375,3,0,0,2,0,40,16,3,7,0,0,2,0,5,0,9,12,1,2163,5,58,14,9,0,0,5,3,1
5,5.01E+12,0,0,1,1,0,0,0,0,0,7,7,327,2,110,0,0,0,2,1,32,40,8,28,4,22,4,1,2,0,7,8,0,1641,6,49,16,8,0,0,1,1,0
128,5.01E+12,1,1,5,5,0,0,0,0,0,38,4,160,7,448,3,0,0,2,0,34,42,10,25,1,2,3,0,4,0,9,13,1,1959,1,10,14,9,0,0,4,3,1
5,5.04E+12,0,0,2,2,0,0,0,0,0,14,5,206,3,161,0,0,0,3,3,23,72,7,19,1,5,0,1,3,0,8,9,1,1776,4,30,13,1,4,1,3,2,0
400,5.04E+12,2,2,1,1,0,0,0,0,0,13,4,149,4,248,0,0,0,2,0,32,42,4,9,1,5,0,2,7,0,7,7,0,1824,4,18,17,7,3,0,3,1,2
5,5.04E+12,2,1,3,3,0,0,0,0,0,24,3,156,5,311,3,0,0,3,3,41,14,7,32,6,29,2,2,4,1,11,9,2,1967,7,40,13,5,2,2,6,3,1
414,5.04E+12,2,1,2,2,0,0,0,0,0,17,5,161,2,109,0,0,2,3,1,44,26,5,23,2,18,2,2,0,0,6,12,0,1633,5,60,16,8,1,1,2,1,0
5,5.04E+12,3,1,3,3,0,0,0,0,0,24,5,222,5,263,1,0,0,0,0,40,10,8,31,1,10,5,1,1,0,6,14,1,1996,5,38,18,9,1,0,3,1,0
418,5.04E+12,1,0,4,4,0,0,0,0,0,28,4,132,5,314,2,0,0,2,1,43,26,4,9,0,0,8,0,4,0,8,10,1,1604,5,45,10,3,0,0,3,1,0
5,5.05E+12,0,0,3,2,0,0,0,0,0,20,9,411,4,256,2,0,0,0,0,38,32,4,10,1,5,5,0,0,2,7,11,1,1963,10,91,23,9,4,1,3,3,0
503,5.05E+12,4,2,3,3,0,0,1,0,0,27,8,331,6,371,3,1,0,0,0,48,22,6,21,3,17,7,0,9,1,6,10,2,1637,4,31,15,1,1,1,3,2,1
255,6.03E+12,1,1,9,9,0,0,0,0,0,66,2,49,11,647,4,0,0,1,0,39,16,10,35,4,21,0,2,2,0,17,2,1,1801,1,5,6,3,0,0,6,6,0
6,6.03E+12,1,0,1,1,0,0,0,0,0,7,4,128,2,106,0,0,0,2,2,39,20,2,8,1,6,0,0,0,0,3,8,0,1799,4,30,15,5,4,1,2,1,0
334,7.03E+12,2,2,6,6,0,0,0,0,0,48,5,245,8,490,0,0,0,3,0,36,34,5,13,2,10,3,2,5,1,11,9,2,1982,4,29,17,8,3,2,6,4,1
7,7.03E+12,0,0,2,2,0,0,0,0,0,14,9,375,3,189,0,1,0,5,2,50,18,10,45,3,26,1,1,3,0,8,5,0,1618,11,90,16,7,1,0,1,0,0
8,8.00E+12,4,0,4,4,0,0,0,0,0,28,3,141,5,318,1,0,0,0,0,46,30,7,36,3,25,4,2,1,0,11,7,1,1854,6,45,13,4,2,1,6,3,0
37,8.00E+12,0,0,4,4,0,0,0,0,0,34,6,262,5,300,2,0,0,2,1,33,34,5,10,1,6,10,0,3,2,17,4,1,1746,3,21,15,8,1,0,2,2,0
8,8.03E+12,2,2,6,6,0,0,0,0,0,48,1,47,9,582,5,0,0,2,2,35,18,5,28,4,27,0,0,6,0,16,17,2,2159,7,65,14,10,1,1,8,5,2
334,8.03E+12,0,0,1,1,0,0,0,0,0,7,8,358,2,130,0,0,0,0,0,41,42,1,2,0,0,1,2,4,0,7,3,3,1441,6,50,12,2,2,1,0,0,0
8,8.04E+12,2,2,2,2,0,0,0,0,0,20,4,220,5,296,2,0,0,2,2,31,32,5,16,2,12,6,2,5,0,9,11,0,1857,5,41,12,4,1,1,5,2,2
430,8.04E+12,1,0,1,1,0,0,0,0,0,7,6,254,2,125,1,0,0,4,0,38,24,7,20,1,7,7,2,4,0,2,6,2,1743,1,5,15,4,3,0,3,1,0
8,8.07E+12,0,0,7,7,0,0,0,0,0,49,3,159,8,509,2,0,0,1,1,36,38,3,7,1,5,0,1,3,0,15,15,1,2102,12,104,6,3,0,0,4,3,0
697,8.07E+12,0,0,6,6,0,0,0,0,0,42,3,162,6,370,1,1,1,2,0,27,48,1,1,0,0,1,1,2,0,9,18,4,1498,6,55,8,5,0,0,6,5,0
8,8.07E+12,0,0,5,5,0,0,0,0,0,35,9,418,6,369,0,0,0,0,0,26,44,4,7,1,4,0,0,2,0,6,5,0,1845,4,25,17,6,0,0,1,1,0
742,8.07E+12,1,1,1,1,0,0,0,0,0,10,13,586,3,189,1,0,0,0,0,29,38,12,47,4,23,8,0,4,0,4,3,0,1755,7,35,17,3,0,0,1,0,1
9,9.02E+12,0,0,2,2,0,0,0,0,0,14,6,292,3,183,2,0,0,2,1,40,44,6,18,1,4,2,0,0,0,8,8,1,1907,9,89,17,8,2,1,3,2,0
196,9.02E+12,0,0,9,9,0,0,0,0,0,63,1,49,10,549,1,1,0,2,0,25,56,4,12,2,5,4,1,7,0,17,15,4,1693,4,38,10,4,3,3,7,6,0
9,9.02E+12,3,2,3,3,0,0,0,0,0,27,5,218,6,358,5,0,0,1,0,42,12,8,25,3,14,0,0,6,0,11,10,4,1779,9,72,12,5,0,0,5,3,2
231,9.02E+12,1,1,3,3,0,0,0,0,0,24,6,215,4,199,0,0,0,1,1,54,14,6,19,2,6,1,1,2,0,6,12,4,1821,5,52,14,4,1,1,5,3,1
9,9.04E+12,2,1,2,2,0,0,0,0,0,17,8,331,3,194,2,0,0,1,1,27,32,1,1,0,0,0,1,1,0,8,7,2,2010,5,35,16,5,2,1,3,1,1
365,9.04E+12,0,0,8,8,0,0,0,0,0,56,4,171,9,516,8,0,0,2,1,23,56,5,17,3,14,3,0,5,0,9,11,2,1590,5,45,8,4,0,0,3,3,0
9,9.04E+12,2,0,2,2,0,0,0,0,0,14,2,74,3,195,1,0,0,2,2,14,46,1,2,0,0,1,0,1,1,14,6,2,2341,2,15,16,7,4,2,3,1,0
388,9.04E+12,1,0,8,8,0,0,0,0,0,56,1,43,9,518,1,1,0,0,0,31,84,7,19,1,8,3,2,3,0,15,10,0,1259,8,50,6,3,1,1,5,5,0
9,9.07E+12,1,1,4,4,0,0,0,0,0,31,2,67,6,390,2,0,0,2,1,47,18,6,19,3,14,1,1,2,0,13,16,0,1696,5,36,15,11,1,0,2,2,0
706,9.07E+12,1,1,7,7,0,0,0,0,0,52,2,84,9,579,5,0,0,1,0,29,54,3,24,3,24,4,2,4,0,12,12,2,1904,3,30,11,8,0,0,4,3,1
9,9.07E+12,3,1,4,4,0,0,0,0,0,31,4,134,4,244,2,0,1,1,0,63,10,7,29,1,9,0,3,1,0,7,11,1,1751,13,96,13,2,3,2,0,0,0
716,9.07E+12,3,2,4,4,0,0,0,0,0,34,3,139,6,363,0,0,0,4,2,53,9,6,27,1,15,2,1,7,0,13,12,0,1849,5,60,13,6,2,2,6,3,2
9,9.07E+12,3,3,1,1,1,1,0,0,0,24,5,225,5,314,0,0,1,0,0,38,32,4,10,1,3,1,0,0,0,6,10,1,1836,6,42,15,4,1,0,4,1,3
736,9.07E+12,1,1,7,7,0,0,0,0,0,52,3,131,9,565,5,0,0,0,0,30,40,7,20,2,9,3,0,4,0,10,11,2,1764,6,62,10,5,0,0,6,6,0
