Team Code,Game Code,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
9,9.07E+12,1,0,5,5,0,0,0,0,0,35,4,191,6,346,1,0,0,1,1,52,48,6,26,3,23,0,3,4,0,11,8,3,1670,5,50,13,5,1,1,4,3,0
704,9.07E+12,2,1,2,2,1,0,0,0,0,23,0,0,4,246,1,0,1,3,1,36,32,6,13,0,0,0,0,2,0,10,19,1,1930,9,82,22,14,4,1,5,2,1
9,9.07E+12,3,2,3,3,0,0,0,0,0,27,4,149,6,364,1,0,0,0,0,26,18,5,27,4,26,0,0,3,1,9,15,0,2377,9,75,14,5,2,1,5,2,2
716,9.07E+12,0,0,1,1,0,0,0,0,0,7,5,171,2,121,0,0,0,2,0,64,26,8.5,18,0,0,11,0,9,0,3,6,0,1223,2,20,10,3,0,0,0,0,0
328,2.70E+13,1,1,4,3,1,0,0,0,0,36,4,187,7,438,4,0,0,1,0,36,42,3,6,0,0,1,1,5,0,9,12,3,1695,7,90,11,4,1,1,6,5,1
27,2.70E+13,1,0,0,0,1,1,0,0,0,8,6,229,2,129,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,8,3,1905,7,71,16,6,1,0,4,1,0
365,2.70E+13,2,1,3,3,0,0,0,0,0,24,4,181,5,312,2,0,0,0,0,49,15,7,16,1,6,6,2,2,0,11,9,1,1649,2,25,9,3,0,0,4,3,1
27,2.70E+13,1,0,0,0,0,0,0,0,0,0,7,270,1,48,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,6,1,1951,7,50,14,5,0,0,1,0,0
28,2.80E+13,0,0,5,5,0,0,0,0,0,35,3,88,6,384,4,0,0,3,3,41,26,2,10,1,9,0,1,1,0,12,15,2,1815,2,25,14,8,3,2,6,5,0
110,2.80E+13,1,1,6,6,0,0,0,0,0,45,1,30,8,487,1,1,0,2,2,54,27,9,30,5,22,0,2,5,0,7,15,1,1785,5,36,12,8,2,1,6,4,1
28,2.81E+13,0,0,6,6,0,0,0,0,0,42,8,284,7,454,4,0,0,0,0,51,48,10,45,8,42,0,3,9,1,6,13,1,1442,9,91,16,7,1,0,2,2,0
528,2.81E+13,2,1,3,3,0,0,0,0,0,24,5,189,5,261,1,0,0,3,3,31,40,7,26,2,14,4,0,5,0,10,16,5,2158,7,61,21,10,1,1,6,3,1
28,2.81E+13,1,1,4,4,2,1,0,0,0,45,4,157,8,490,4,0,0,2,2,43,20,3,7,0,0,0,1,4,0,11,21,1,1875,11,102,10,2,0,0,4,3,1
587,2.81E+13,4,4,4,4,0,0,0,0,0,40,3,151,8,484,3,0,1,2,1,46,34,3,15,1,6,0,2,6,0,7,16,1,1725,10,70,11,3,1,1,4,2,2
28,2.81E+13,0,0,3,3,2,1,0,0,0,35,6,157,6,246,1,0,0,0,0,35,24,8,24,3,13,0,0,4,0,6,20,1,1934,11,100,17,9,1,0,4,4,0
674,2.81E+13,1,1,6,6,0,0,0,0,0,45,5,208,7,450,4,0,0,0,0,51,34,10,54,7,44,0,0,2,2,4,13,3,1666,5,35,9,3,1,0,4,3,1
28,2.81E+13,2,2,3,3,0,0,0,0,0,27,4,103,6,364,1,0,0,1,1,41,26,6,27,2,18,2,2,6,0,6,18,7,2039,14,134,14,7,0,0,5,2,2
754,2.81E+13,3,1,3,3,0,0,0,0,0,24,3,110,5,329,3,0,0,2,1,48,30,5,16,3,14,3,1,5,0,9,15,4,1561,10,107,15,7,1,0,4,1,1
28,2.90E+13,2,2,1,1,1,1,0,0,1,23,7,261,5,321,3,0,0,0,0,46,28,10,32,1,9,0,0,2,0,8,11,1,1435,9,59,13,4,1,0,3,1,2
29,2.90E+13,3,2,2,2,0,0,0,0,0,20,3,158,6,366,4,0,0,2,0,43,10,5,21,1,7,0,0,6,0,12,9,1,2165,5,28,17,8,2,0,3,2,1
29,2.90E+13,1,0,0,0,0,0,0,0,0,0,6,254,1,65,1,0,0,0,0,48,20,7,30,5,24,0,1,1,0,5,6,2,1554,11,60,16,5,1,0,2,0,0
107,2.90E+13,0,0,4,4,0,0,0,0,0,28,6,267,5,304,1,0,0,1,1,46,12,9,42,1,6,2,0,6,1,10,5,3,2046,5,39,13,5,1,1,3,3,0
29,2.91E+13,1,1,4,2,0,0,0,0,0,29,8,336,6,364,3,1,0,2,1,47,52,2,4,1,2,1,2,2,0,2,8,4,1403,1,15,12,3,0,0,3,2,1
528,2.91E+13,2,2,3,3,0,0,0,0,0,27,2,83,6,363,0,0,0,2,1,26,38,7,14,1,4,1,1,5,1,10,20,1,2197,12,106,11,2,3,2,6,3,2
29,2.91E+13,0,0,3,3,0,0,0,0,0,21,6,276,4,260,3,0,0,0,0,62,20,3,9,1,4,0,2,4,0,4,6,2,1380,2,15,9,1,2,1,3,2,0
657,2.91E+13,0,0,6,6,0,0,0,0,0,42,2,87,7,422,1,1,0,2,1,31,18,3,5,1,2,0,0,2,0,20,18,1,2220,6,60,14,10,2,1,6,5,0
29,2.91E+13,1,1,3,3,0,0,0,0,0,24,6,255,5,325,3,0,0,2,2,32,44,6,12,0,0,0,0,4,0,7,15,3,1731,7,50,14,6,1,1,3,2,1
732,2.91E+13,2,2,3,3,0,0,0,0,0,27,7,255,6,363,3,0,0,1,1,33,42,6,28,2,15,0,1,2,0,9,9,1,1869,7,64,16,5,2,1,1,0,1
30,3.00E+13,1,0,1,1,0,0,0,0,0,7,7,242,2,130,2,0,0,2,0,53,8,6,21,2,15,0,0,4,0,9,7,0,1606,8,51,13,3,2,0,2,1,0
419,3.00E+13,1,1,6,6,0,0,0,0,0,45,3,111,8,470,2,0,0,0,0,43,16,4,31,3,27,0,0,2,1,8,13,0,1994,5,27,15,8,0,0,5,4,1
30,3.00E+13,4,1,4,4,0,0,0,0,0,31,7,267,6,343,0,0,0,0,0,56,32,8,42,4,32,0,0,2,0,10,8,0,1613,6,52,16,5,0,0,5,2,1
497,3.00E+13,2,1,3,3,0,0,0,0,0,24,6,213,5,293,2,0,0,1,0,34,34,4,16,2,13,0,0,3,0,8,12,0,1987,7,70,20,8,4,2,4,3,1
30,3.00E+13,3,2,3,3,0,0,0,0,0,27,2,94,6,365,0,0,0,5,1,41,14,4,14,0,0,0,0,2,0,11,17,1,2058,13,85,18,12,1,0,3,2,0
498,3.00E+13,1,1,4,4,0,0,0,0,0,31,5,202,6,357,4,0,0,0,0,44,26,8,22,2,11,0,0,4,1,7,12,3,1542,6,55,12,4,2,1,4,2,1
30,3.01E+13,2,1,1,1,0,0,0,0,0,10,6,187,3,151,0,1,0,3,2,36,1,4,17,3,13,0,2,5,1,11,5,0,2107,16,100,17,8,1,0,3,1,1
521,3.01E+13,2,2,2,2,0,0,0,0,0,20,6,183,5,315,0,0,0,3,3,58,13,7,23,4,17,0,1,6,0,5,5,2,1493,12,69,12,3,0,0,3,1,1
30,3.01E+13,1,1,1,1,0,0,0,0,0,10,5,163,3,192,1,0,0,4,1,42,34,2,5,0,0,0,1,2,0,7,8,1,1771,9,79,16,6,3,0,2,1,1
725,3.01E+13,1,1,5,5,0,0,0,0,0,38,5,207,7,439,2,0,0,1,1,40,42,3,10,1,5,0,4,4,0,13,3,2,1829,8,75,12,4,2,2,4,3,1
8,3.10E+13,2,1,3,3,0,0,0,0,0,24,7,275,5,308,1,0,0,0,0,34,42,5,20,2,12,4,1,8,0,8,8,0,1868,5,40,14,4,1,0,3,2,1
31,3.10E+13,2,2,1,1,0,0,0,0,0,13,7,257,4,234,1,0,0,1,1,29,44,6,26,3,17,4,0,4,1,9,4,1,1732,7,40,17,3,3,2,3,0,2
31,3.10E+13,3,2,2,2,0,0,0,0,0,20,4,193,5,294,1,0,0,3,1,34,16,8,27,4,14,0,1,0,0,10,5,1,2144,10,59,17,5,4,2,3,1,2
257,3.10E+13,3,3,2,2,0,0,0,0,0,23,6,289,6,376,3,1,0,3,1,46,28,9,41,4,29,0,0,5,0,2,9,3,1456,4,20,11,3,0,0,5,2,2
31,3.10E+13,3,1,0,0,2,1,0,0,0,17,7,286,5,277,1,0,0,1,0,34,24,5,23,1,14,1,0,4,0,2,8,2,1702,6,48,17,4,3,1,3,1,1
365,3.10E+13,1,1,2,2,0,0,0,0,1,19,7,284,4,254,0,1,0,1,1,26,46,8,31,4,20,1,1,4,0,8,5,3,1898,8,66,14,4,0,0,2,1,1
31,3.10E+13,0,0,4,4,0,0,0,0,0,28,6,272,5,320,1,0,0,2,2,53,10,14,61,4,37,1,2,2,0,2,14,1,1638,7,43,15,9,0,0,1,1,0
433,3.10E+13,2,1,2,2,0,0,0,0,0,17,6,226,4,260,3,0,0,2,0,40,22,7,36,2,21,3,2,0,0,2,11,1,1962,3,32,20,9,1,1,4,2,1
31,3.11E+13,1,1,2,2,0,0,0,0,0,17,7,287,4,221,0,0,0,1,0,47,6,2,10,1,9,0,0,4,0,11,9,1,2049,7,48,18,8,0,0,3,2,1
657,3.11E+13,0,0,10,10,0,0,0,0,0,70,1,31,11,626,5,0,0,0,0,59,20,10,47,3,25,0,1,4,0,10,19,3,1551,4,23,8,4,3,2,6,5,0
31,3.70E+13,2,1,2,2,0,0,0,0,0,17,3,116,4,260,2,0,0,1,1,65,39,6,32,2,24,4,0,4,0,7,7,2,1390,4,40,11,3,2,1,4,2,1
37,3.70E+13,2,2,4,4,0,0,0,0,0,34,2,97,7,447,1,0,0,0,0,50,23,2,13,0,0,0,0,3,1,15,12,1,2210,6,43,13,8,0,0,6,4,2
37,3.70E+13,1,1,4,4,0,0,0,0,0,31,6,229,6,368,3,1,0,3,1,46,10,6,21,2,12,0,2,8,0,15,8,0,2010,5,39,15,6,1,1,3,1,1
257,3.70E+13,3,3,3,3,0,0,0,0,0,30,5,204,7,459,3,0,0,3,2,49,28,7,32,2,20,0,3,3,0,8,13,1,1590,7,59,14,6,0,0,4,3,1
37,3.70E+13,0,0,7,7,0,0,0,0,0,49,3,157,8,468,6,0,0,3,2,50,12,11,44,4.5,23,0,0,3,1,15,9,0,1973,8,70,13,9,1,1,4,4,0
334,3.70E+13,2,2,3,3,0,0,0,0,0,27,5,209,6,380,4,0,0,0,0,57,17,5,10,0,0,0,3,4,0,7,12,1,1627,7,72,16,6,2,2,5,2,2
37,3.70E+13,6,1,2,2,0,0,0,0,0,17,5,231,4,242,3,0,0,0,0,30,34,3,4,0,0,0,0,3,0,9,11,0,1769,6,45,19,8,1,1,4,1,1
365,3.70E+13,4,2,2,2,0,0,0,0,0,20,7,272,4,258,2,0,0,1,0,27,58,8,29,3,21,1,0,6,0,8,7,2,1831,5,30,15,4,0,0,3,1,1
37,4.70E+13,0,0,9,9,0,0,0,0,0,63,0,0,10,622,2,1,0,0,0,33,26,6,31,3,24,5,1,2,0,14,11,0,1668,6,47,8,7,1,1,6,6,0
47,4.70E+13,2,1,0,0,0,0,0,0,0,3,5,217,2,123,0,0,0,1,0,27,42,2,4,0,0,2,0,2,0,8,6,1,1932,2,12,13,3,2,2,2,0,1
47,4.70E+13,1,0,0,0,0,0,0,0,0,0,9,315,0,0,0,0,1,0,0,48,14,2,4,0,0,0,1,0,0,3,7,1,1671,4,39,14,2,1,1,1,0,0
67,4.70E+13,1,1,5,5,0,0,0,0,0,38,3,120,7,415,2,2,0,2,2,42,16,10,35,6,25,0,0,0,1,14,14,1,1929,4,20,12,8,0,0,6,5,1
47,4.70E+13,0,0,2,2,2,0,0,0,0,26,8,306,5,325,2,0,0,3,2,54,44,14,60,2,20,5,0,3,1,4,8,3,1205,8,72,13,2,1,1,3,3,0
204,4.70E+13,5,4,1,1,1,0,0,0,0,25,6,179,7,363,2,0,0,2,0,27,24,6,25,4,19,5,2,4,0,10,13,3,2388,12,129,17,6,0,0,5,1,3
47,4.70E+13,0,0,0,0,0,0,0,0,0,0,11,454,1,57,0,0,0,1,1,65,33,9,15,2,5,0,2,0,0,4,3,0,1765,7,33,17,4,1,0,0,0,0
312,4.70E+13,0,0,8,8,0,0,0,0,0,56,2,92,9,550,1,0,0,2,2,50,26,7,23,3,16,3,1,2,0,11,10,1,1835,1,5,10,6,2,1,6,6,0
47,4.71E+13,2,1,4,4,0,0,0,0,0,31,4,144,6,311,1,0,0,1,1,30,34,8,42,4,27,0,3,2,0,10,16,2,2272,7,113,21,12,2,1,5,4,0
503,4.71E+13,1,1,2,2,0,0,0,0,0,17,4,144,4,258,3,0,0,4,2,46,50,8,32,3,22,0,1,4,0,4,9,3,1298,2,17,11,1,4,2,3,2,1
47,4.71E+13,0,0,3,3,0,0,0,0,0,21,7,315,4,187,0,0,0,3,2,61,25,6,17,1,9,1,0,4,0,5,11,1,1601,5,45,11,1,3,2,2,2,0
519,4.71E+13,1,1,5,5,0,0,0,0,0,38,5,184,7,409,2,0,0,0,0,55,23,5,15,3,9,6,3,3,0,16,3,1,1999,11,80,16,6,2,0,3,2,0
47,4.71E+13,2,2,7,6,1,0,0,0,0,60,6,298,7,341,0,0,0,0,0,50,44,8,37,3,23,0,1,2,0,12,16,2,1906,9,79,19,9,2,1,9,6,2
774,4.71E+13,2,0,7,7,1,0,1,1,0,57,6,237,6,364,0,0,0,1,1,48,44,9,34,3,18,0,0,5,1,11,15,1,1694,8,91,16,7,2,2,6,4,0
51,5.10E+13,3,3,2,2,0,0,0,0,0,23,4,176,6,375,4,0,0,1,1,50,20,5,27,4,25,1,2,3,0,6,8,1,1732,8,57,15,8,0,0,4,1,2
311,5.10E+13,2,2,1,1,0,0,0,0,0,13,3,112,4,257,3,0,0,3,2,38,34,3,6,1,3,2,1,2,0,6,12,1,1868,3,30,12,5,2,1,4,1,2
51,5.10E+13,1,1,2,1,0,0,0,0,0,16,9,416,4,258,3,0,0,0,0,39,30,7,19,0,0,0,0,1,0,4,13,2,1964,9,85,20,7,2,0,5,2,1
434,5.10E+13,1,1,4,4,0,0,0,0,0,31,8,316,6,366,3,0,0,3,1,44,32,10,44,5,36,0,0,5,1,9,4,4,1636,6,70,18,7,2,2,1,1,0
51,5.11E+13,1,1,2,1,2,1,0,0,0,30,8,366,5,322,2,0,0,4,3,49,48,9.5,33,4,24,2,4,3,0,2,10,0,1100,9,79,16,5,1,0,3,2,1
522,5.11E+13,3,3,4,4,0,0,0,0,0,37,6,250,6,357,2,0,0,4,2,25,26,2,5,1,4,2,4,1,0,12,15,1,2500,7,48,20,9,0,0,6,3,2
51,5.11E+13,3,2,2,2,1,1,0,0,0,28,4,165,6,307,1,0,0,1,1,46,4,5,23,3,20,0,3,4,2,13,10,1,2234,10,76,18,9,1,0,6,3,1
663,5.11E+13,2,1,2,2,1,0,0,0,0,23,5,165,5,249,1,0,0,3,2,62,12,4,17,1,10,0,0,3,0,7,7,3,1366,2,20,12,1,4,2,4,2,1
51,5.11E+13,4,2,1,1,0,0,0,0,0,13,4,170,3,190,2,0,0,3,2,23,44,3,6,0,0,0,0,7,0,11,11,1,2080,2,19,19,9,2,0,7,1,2
697,5.11E+13,2,1,1,1,0,0,0,0,0,16,7,302,3,194,2,0,0,0,0,34,79,10,57,5,40,0,1,5,0,8,7,0,1520,8,61,16,5,2,2,4,2,1
51,5.11E+13,3,2,2,2,0,0,0,0,0,20,4,190,5,315,1,0,0,2,1,40,42,9,50,5,41,0,1,2,0,10,9,0,1735,8,73,14,5,1,1,6,2,2
